model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
top5_drop0.6_ml1m_s=6_CompGCN_k=64_l=3.tsv	0.7921	0.4536	0.4885	0.9366	0.7871	0.6337	0.0504
top5_drop0.6_ml1m_s=8_CompGCN_k=64_l=3.tsv	0.7738	0.4463	0.4790	0.9275	0.7019	0.6600	0.1051
top5_drop0.6_ml1m_s=7_CompGCN_k=64_l=3.tsv	0.7928	0.4537	0.4890	0.9384	0.7781	0.6486	0.0750
top5_drop0.8_ml1m_s=1_CompGCN_k=64_l=1.tsv	0.7837	0.4485	0.4833	0.9349	0.7577	0.6561	0.0989
top5_drop0.8_ml1m_s=2_CompGCN_k=64_l=1.tsv	0.7596	0.4379	0.4702	0.9187	0.7587	0.6449	0.0923
top5_drop0.8_ml1m_s=3_CompGCN_k=64_l=1.tsv	0.7692	0.4437	0.4772	0.9227	0.7474	0.6459	0.1616
top5_drop0.8_ml1m_s=4_CompGCN_k=64_l=1.tsv	0.7738	0.4441	0.4776	0.9262	0.7744	0.6422	0.0758
top5_drop0.8_ml1m_s=5_CompGCN_k=64_l=1.tsv	0.7681	0.4421	0.4749	0.9266	0.7362	0.6449	0.1232
top5_drop0.8_ml1m_s=6_CompGCN_k=64_l=1.tsv	0.7670	0.4409	0.4743	0.9239	0.7708	0.6370	0.0925
top5_drop0.8_ml1m_s=8_CompGCN_k=64_l=1.tsv	0.7752	0.4455	0.4798	0.9296	0.7404	0.6565	0.0974
top5_drop0.8_ml1m_s=7_CompGCN_k=64_l=1.tsv	0.7357	0.4299	0.4596	0.8991	0.7250	0.6337	0.1215
top5_drop0.8_ml1m_s=1_CompGCN_k=64_l=2.tsv	0.7471	0.4350	0.4658	0.9063	0.7151	0.6483	0.1728
top5_drop0.8_ml1m_s=2_CompGCN_k=64_l=2.tsv	0.7520	0.4311	0.4635	0.9180	0.7455	0.6354	0.1045
top5_drop0.8_ml1m_s=3_CompGCN_k=64_l=2.tsv	0.7570	0.4409	0.4728	0.9207	0.7236	0.6244	0.1201
top5_drop0.8_ml1m_s=4_CompGCN_k=64_l=2.tsv	0.7731	0.4457	0.4787	0.9263	0.7925	0.6236	0.0638
top5_drop0.8_ml1m_s=5_CompGCN_k=64_l=2.tsv	0.7800	0.4451	0.4799	0.9324	0.7924	0.6380	0.0720
top5_drop0.8_ml1m_s=6_CompGCN_k=64_l=2.tsv	0.7669	0.4421	0.4747	0.9219	0.7576	0.6448	0.0726
top5_drop0.8_ml1m_s=8_CompGCN_k=64_l=2.tsv	0.7575	0.4377	0.4695	0.9171	0.7404	0.6400	0.1250
top5_drop0.8_ml1m_s=7_CompGCN_k=64_l=2.tsv	0.7403	0.4299	0.4601	0.9090	0.7333	0.6293	0.1240
top5_drop0.8_ml1m_s=1_CompGCN_k=64_l=3.tsv	0.7685	0.4453	0.4775	0.9219	0.7388	0.6626	0.1099
top5_drop0.8_ml1m_s=2_CompGCN_k=64_l=3.tsv	0.7210	0.4149	0.4444	0.9087	0.7515	0.5981	0.1115
top5_drop0.8_ml1m_s=3_CompGCN_k=64_l=3.tsv	0.7643	0.4381	0.4714	0.9248	0.7825	0.6223	0.0957
top5_drop0.8_ml1m_s=4_CompGCN_k=64_l=3.tsv	0.7490	0.4347	0.4658	0.9152	0.7108	0.6437	0.1072
top5_drop0.8_ml1m_s=5_CompGCN_k=64_l=3.tsv	0.6591	0.4053	0.4262	0.8548	0.7579	0.5460	0.0884
top5_drop0.8_ml1m_s=6_CompGCN_k=64_l=3.tsv	0.7395	0.4246	0.4559	0.9123	0.7587	0.6210	0.1027
top5_drop0.8_ml1m_s=8_CompGCN_k=64_l=3.tsv	0.6531	0.4107	0.4304	0.8397	0.6642	0.5595	0.1885
top5_drop0.8_ml1m_s=7_CompGCN_k=64_l=3.tsv	0.7686	0.4433	0.4763	0.9245	0.7671	0.6404	0.1097
