							model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
top5_drop0.6_dbbook_s=4_CompGCN_k=64_l=2.tsv	0.6924	0.5474	0.5636	0.8868	0.6911	0.6238	0.1808
top5_drop0.6_dbbook_s=5_CompGCN_k=64_l=2.tsv	0.6854	0.5391	0.5566	0.8806	0.7001	0.6140	0.1759
top5_drop0.6_dbbook_s=6_CompGCN_k=64_l=2.tsv	0.6921	0.5462	0.5628	0.8911	0.7050	0.6241	0.1703
top5_drop0.6_dbbook_s=8_CompGCN_k=64_l=2.tsv	0.6922	0.5474	0.5633	0.8885	0.6927	0.6239	0.1823
top5_drop0.6_dbbook_s=7_CompGCN_k=64_l=2.tsv	0.6949	0.5511	0.5661	0.8888	0.7007	0.6261	0.1619
top5_drop0.6_dbbook_s=1_CompGCN_k=64_l=3.tsv	0.6957	0.5542	0.5679	0.8877	0.6581	0.6270	0.2172
top5_drop0.6_dbbook_s=2_CompGCN_k=64_l=3.tsv	0.6987	0.5551	0.5702	0.8901	0.6899	0.6291	0.1911
top5_drop0.6_dbbook_s=3_CompGCN_k=64_l=3.tsv	0.6841	0.5350	0.5546	0.8804	0.6971	0.6126	0.1835
top5_drop0.6_dbbook_s=4_CompGCN_k=64_l=3.tsv	0.6941	0.5511	0.5657	0.8879	0.7026	0.6248	0.1689
top5_drop0.6_dbbook_s=5_CompGCN_k=64_l=3.tsv	0.6913	0.5445	0.5617	0.8825	0.7143	0.6184	0.1576
top5_drop0.6_dbbook_s=6_CompGCN_k=64_l=3.tsv	0.7045	0.5594	0.5749	0.8956	0.6919	0.6353	0.1827
top5_drop0.6_dbbook_s=8_CompGCN_k=64_l=3.tsv	0.7007	0.5587	0.5726	0.8910	0.7024	0.6314	0.1694
top5_drop0.6_dbbook_s=7_CompGCN_k=64_l=3.tsv	0.6809	0.5339	0.5519	0.8814	0.7061	0.6108	0.1791
top5_drop0.8_dbbook_s=1_CompGCN_k=64_l=1.tsv	0.6773	0.5345	0.5512	0.8752	0.6499	0.6079	0.2489
top5_drop0.8_dbbook_s=2_CompGCN_k=64_l=1.tsv	0.6750	0.5302	0.5478	0.8796	0.6686	0.6077	0.2051
top5_drop0.8_dbbook_s=3_CompGCN_k=64_l=1.tsv	0.6875	0.5411	0.5587	0.8819	0.7101	0.6159	0.1486
top5_drop0.8_dbbook_s=4_CompGCN_k=64_l=1.tsv	0.6842	0.5390	0.5563	0.8821	0.7038	0.6146	0.1760
top5_drop0.8_dbbook_s=5_CompGCN_k=64_l=1.tsv	0.6794	0.5327	0.5512	0.8745	0.7045	0.6073	0.1529
top5_drop0.8_dbbook_s=6_CompGCN_k=64_l=1.tsv	0.6767	0.5330	0.5497	0.8721	0.6695	0.6055	0.2133
top5_drop0.8_dbbook_s=8_CompGCN_k=64_l=1.tsv	0.6781	0.5337	0.5507	0.8774	0.6955	0.6085	0.1848
top5_drop0.8_dbbook_s=7_CompGCN_k=64_l=1.tsv	0.6821	0.5347	0.5533	0.8797	0.6986	0.6116	0.1737
top5_drop0.8_dbbook_s=1_CompGCN_k=64_l=2.tsv	0.6802	0.5379	0.5537	0.8783	0.6461	0.6116	0.2352
top5_drop0.8_dbbook_s=2_CompGCN_k=64_l=2.tsv	0.6905	0.5474	0.5626	0.8863	0.6751	0.6215	0.2039
top5_drop0.8_dbbook_s=3_CompGCN_k=64_l=2.tsv	0.6832	0.5384	0.5550	0.8810	0.6987	0.6136	0.1952
top5_drop0.8_dbbook_s=4_CompGCN_k=64_l=2.tsv	0.6871	0.5411	0.5584	0.8822	0.6944	0.6177	0.1878
top5_drop0.8_dbbook_s=5_CompGCN_k=64_l=2.tsv	0.6881	0.5418	0.5592	0.8811	0.7050	0.6163	0.1834
top5_drop0.8_dbbook_s=6_CompGCN_k=64_l=2.tsv	0.6868	0.5396	0.5576	0.8830	0.7142	0.6161	0.1602
top5_drop0.8_dbbook_s=8_CompGCN_k=64_l=2.tsv	0.6819	0.5364	0.5540	0.8811	0.6814	0.6130	0.2008
top5_drop0.8_dbbook_s=7_CompGCN_k=64_l=2.tsv	0.6857	0.5424	0.5574	0.8824	0.7095	0.6162	0.1568
top5_drop0.8_dbbook_s=1_CompGCN_k=64_l=3.tsv	0.6954	0.5538	0.5676	0.8896	0.6769	0.6275	0.2042
top5_drop0.8_dbbook_s=2_CompGCN_k=64_l=3.tsv	0.6903	0.5455	0.5620	0.8844	0.6894	0.6201	0.2041
top5_drop0.8_dbbook_s=3_CompGCN_k=64_l=3.tsv	0.6735	0.5261	0.5453	0.8737	0.6771	0.6023	0.2422
top5_drop0.8_dbbook_s=4_CompGCN_k=64_l=3.tsv	0.6873	0.5427	0.5588	0.8830	0.7163	0.6170	0.1581
top5_drop0.8_dbbook_s=5_CompGCN_k=64_l=3.tsv	0.6867	0.5411	0.5580	0.8810	0.7151	0.6146	0.1643
top5_drop0.8_dbbook_s=6_CompGCN_k=64_l=3.tsv	0.6967	0.5529	0.5680	0.8884	0.7032	0.6264	0.1797
top5_drop0.8_dbbook_s=8_CompGCN_k=64_l=3.tsv	0.6955	0.5528	0.5672	0.8904	0.7147	0.6269	0.1642
top5_drop0.8_dbbook_s=7_CompGCN_k=64_l=3.tsv	0.6700	0.5196	0.5411	0.8781	0.7104	0.6006	0.1750
